model,kernel,max_iter,C,log C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,100000,1.00E+00,0.00E+00,0.576105998,0.501560976,"[[616.2, 409.4], [90.4, 62.8]]"
svm,linear,100000,5.00E+04,4.70E+00,0.390028044,0.5,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E-04,-3.30E+00,0.388680743,0.500908656,"[[352.2, 673.4], [47.2, 106.0]]"
svm,linear,100000,5.00E+07,7.70E+00,0.390028044,0.506500969,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E+03,3.00E+00,0.390197823,0.49914682,"[[353.2, 672.4], [46.4, 106.8]]"
svm,linear,100000,5.00E+05,5.70E+00,0.390028044,0.499837398,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E-09,-9.00E+00,0.153540572,0.513432571,"[[30.2, 995.4], [2.4, 150.8]]"
svm,linear,100000,1.00E-05,-5.00E+00,0.615655752,0.509058465,"[[679.8, 345.8], [107.2, 46.0]]"
svm,linear,100000,5.00E+01,1.70E+00,0.402252152,0.504827037,"[[368.8, 656.8], [47.8, 105.4]]"
svm,linear,100000,1.00E-02,-2.00E+00,0.539919797,0.49638323,"[[569.2, 456.4], [85.8, 67.4]]"
svm,linear,100000,1.00E+08,8.00E+00,0.390028044,0.505233222,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E-05,-4.30E+00,0.648073093,0.508816233,"[[723.4, 302.2], [112.6, 40.6]]"
svm,linear,100000,5.00E+06,6.70E+00,0.390028044,0.500255699,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E-02,-1.30E+00,0.543309482,0.498509146,"[[574.4, 451.2], [87.0, 66.2]]"
svm,linear,100000,5.00E+00,6.99E-01,0.483576287,0.499805354,"[[484.2, 541.4], [67.4, 85.8]]"
svm,linear,100000,5.00E+08,8.70E+00,0.390028044,0.500682927,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E+04,4.00E+00,0.390028044,0.499919018,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E-06,-5.30E+00,0.544889938,0.498634717,"[[576.4, 449.2], [87.4, 65.8]]"
svm,linear,100000,1.00E+09,9.00E+00,0.390028044,0.514149373,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E+10,1.00E+01,0.390028044,0.5,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E+09,9.70E+00,0.390028044,0.498305755,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,5.00E-09,-8.30E+00,0.462706942,0.497448154,"[[463.4, 562.2], [71.2, 82.0]]"
svm,linear,100000,5.00E+10,1.07E+01,0.390028044,0.500682927,"[[353.0, 672.6], [46.4, 106.8]]"
svm,linear,100000,1.00E-06,-6.00E+00,0.372231016,0.505278974,"[[327.2, 698.4], [41.6, 111.6]]"
svm,linear,100000,1.00E-08,-8.00E+00,0.326666073,0.489431441,"[[269.8, 755.8], [38.0, 115.2]]"
svm,linear,100000,5.00E-07,-6.30E+00,0.447435615,0.50214425,"[[437.8, 587.8], [63.6, 89.6]]"
svm,linear,100000,1.00E-07,-7.00E+00,0.439993959,0.497212517,"[[421.8, 603.8], [56.2, 97.0]]"
svm,linear,100000,5.00E-08,-7.30E+00,0.433291065,0.507894273,"[[421.4, 604.2], [63.8, 89.4]]"
