time,model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
17:52:39.360,svm,linear,1000,5E-02,0.4820576195,0.5000000000,"[[488.0, 537.6], [73.0, 80.2]]"
17:52:39.393,svm,linear,1000,1E+03,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.421,svm,linear,1000,1E+04,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.447,svm,linear,1000,1E+05,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.473,svm,linear,1000,1E-02,0.6064270165,0.5000000000,"[[655.8, 369.8], [94.2, 59.0]]"
17:52:39.522,svm,linear,1000,1E+07,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:39.606,svm,linear,1000,1E-05,0.5844257429,0.5021283351,"[[626.4, 399.2], [90.6, 62.6]]"
17:52:39.701,svm,linear,1000,1E+06,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:40.022,svm,linear,1000,5E+07,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:40.984,svm,linear,1000,1E+08,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:42.611,svm,linear,1000,5E-06,0.5508475992,0.4985365854,"[[583.8, 441.8], [87.6, 65.6]]"
17:52:45.966,svm,linear,1000,1E+09,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:45.991,svm,linear,1000,5E+10,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:46.005,svm,linear,1000,5E+09,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:46.063,svm,linear,1000,5E+08,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:46.095,svm,linear,1000,1E+11,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:46.165,svm,linear,1000,1E+10,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:46.447,svm,linear,1000,1E+13,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:46.453,svm,linear,1000,5E+11,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:47.044,svm,linear,1000,1E+12,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:47.137,svm,linear,1000,5E+12,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
